##//////////////////////////////////////////////////////////////////////////////////
##
## CO2 EMISSIONS FROM LAND USE CHANGE 
##
## Provided are annual and cumulative CO2 emissions from anthropogenic land use 
## change, simulated using the LPX model in a D1 setup (see Pongratz et al., 2014) 
## under constant preindustrial environmental boundary conditions, and following six 
## different land use change scenarios (HYDE 3.1, HYDE 3.1 upper, HYDE 3.2, 
## HYDE 3.2 upper, KK10, KK10D). Further description is provided in the manuscript. 
##
## Citation: Stocker et al.: Holocene peatland and ice core data constraints on 
## the timing and magnitude of CO2 emissions from past land use, PNAS, 2017 
##
## Columns description:
## 1.  year         year CE (AD)
## 2.  hyde31       LUC emissions following scenario HYDE 3.1 (PgC yr-1)
## 3.  hyde32       LUC emissions following scenario HYDE 3.2 (PgC yr-1)
## 4.  hyde31u      LUC emissions following scenario HYDE 3.1 upper (PgC yr-1)
## 5.  hyde32u      LUC emissions following scenario HYDE 3.2 upper (PgC yr-1)
## 6.  kk10         LUC emissions following scenario HYDE KK 10 (PgC yr-1)
## 7.  kk10d        LUC emissions following scenario HYDE KK 10D (PgC yr-1)
## 8.  hyde31_cum   cumulative LUC emissions following scenario HYDE 3.1, (PgC)   
## 9.  hyde32_cum   cumulative LUC emissions following scenario HYDE 3.2, (PgC)   
## 10. hyde31u_cum  cumulative LUC emissions following scenario HYDE 3.1 upper, (PgC)    
## 11. hyde32u_cum  cumulative LUC emissions following scenario HYDE 3.2 upper, (PgC)
## 12. kk10_cum     cumulative LUC emissions following scenario HYDE KK 10, (PgC)
## 13. kk10d_cum    cumulative LUC emissions following scenario HYDE KK 10D, (PgC)   
## ----------------------------------------------------------------------------------
"year","hyde31","hyde32","hyde31u","hyde32u","kk10","kk10d","hyde31_cum","hyde32_cum","hyde31u_cum","hyde32u_cum","kk10_cum","kk10d_cum"
-9860,0,0,0,0,0.0333780100002001,-0.000152168770910066,0,0,0,0,4.35313607999994,0.00350305343999935
-9859,0,0,0,0,0.0152134300003732,0.000268996780960151,0,0,0,0,4.36834951000032,0.0037720502209595
-9858,0,0,0,0,0.0100378899994049,-6.01099518462433e-05,0,0,0,0,4.37838739999972,0.00371194026911325
-9857,0,0,0,0,0.0160446100001725,-1.51839813042898e-05,0,0,0,0,4.39443200999989,0.00369675628780896
-9856,0,0,0,0,0.0228339499998298,7.89508203524747e-06,0,0,0,0,4.41726595999972,0.00370465136984421
-9855,0,0,0,0,0.0364719900000539,-8.3213931247883e-06,0,0,0,0,4.45373794999978,0.00369632997671942
-9854,0,0,0,0,0.031577070000147,4.10000570809643e-05,0,0,0,0,4.48531501999992,0.00373733003380039
-9853,0,0,0,0,0.0316932800003493,-4.09249851145432e-05,0,0,0,0,4.51700830000027,0.00369640504868584
-9852,0,0,0,0,0.0280938199998887,7.60268171688949e-05,0,0,0,0,4.54510212000016,0.00377243186585474
-9851,0,0,0,0,0.0398299799999076,6.7778413722408e-05,0,0,0,0,4.58493210000007,0.00384021027957715
-9850,0,0,0,0,0.033943569999797,-1.78391755980556e-05,0,0,0,0,4.61887566999987,0.00382237110397909
-9849,0,0,0,0,0.0335341299998472,3.08018948089739e-05,0,0,0,0,4.65240979999971,0.00385317299878806
-9848,0,0,0,0,0.0402669500002117,8.81043392837455e-05,0,0,0,0,4.69267674999992,0.00394127733807181
-9847,0,0,0,0,0.0348840399997482,7.23710127203958e-05,0,0,0,0,4.72756078999967,0.00401364835079221
-9846,0,0,0,0,0.0378878100003595,4.71973903586331e-05,0,0,0,0,4.76544860000003,0.00406084574115084
-9845,0,0,0,0,0.0396880699999076,3.87935106118675e-05,0,0,0,0,4.80513666999994,0.00409963925176271
-9844,0,0,0,0,0.0403386299999592,-1.20801510092861e-05,0,0,0,0,4.8454752999999,0.00408755910075342
-9843,0,0,0,0,0.0356560600000022,1.48833332787035e-05,0,0,0,0,4.8811313599999,0.00410244243403212
-9842,0,0,0,0,0.038495679999754,1.78002642314823e-05,0,0,0,0,4.91962703999966,0.00412024269826361
-9841,0,0,0,0,0.0448113400000167,0.000285700075892237,0,0,0,0,4.96443837999967,0.00440594277415584
-9840,0,0,0,0,0.0461642100003725,-0.000137596151034813,0,0,0,0,5.01060259000004,0.00426834662312103
-9839,0,0,0,0,0.0464441800000699,-0.000202373752017593,0,0,0,0,5.05704677000011,0.00406597287110344
-9838,0,0,0,0,0.0397831599999077,0.000716524773906713,0,0,0,0,5.09682993000002,0.00478249764501015
-9837,0,0,0,0,0.0355735500002546,-8.05517233857245e-05,0,0,0,0,5.13240348000028,0.00470194592162443
-9836,0,0,0,0,0.0339756799997468,8.20694513095077e-05,0,0,0,0,5.16637916000002,0.00478401537293393
-9835,0,0,0,0,0.0396749500003623,-2.04805060093349e-05,0,0,0,0,5.20605411000039,0.0047635348669246
-9834,0,0,0,0,0.0423865099994573,8.40956840875151e-05,0,0,0,0,5.24844061999984,0.00484763055101211
-9833,0,0,0,0,0.0372735900003076,0.000142013283948472,0,0,0,0,5.28571421000015,0.00498964383496059
-9832,0,0,0,0,0.0280526599998887,-2.51042451964167e-05,0,0,0,0,5.31376687000004,0.00496453958976417
-9831,0,0,0,0,0.0281041000003435,0.000120512495414005,0,0,0,0,5.34187097000038,0.00508505208517817
-9830,0,0,0,0,0.0377975399995001,-0.000151954306147672,0,0,0,0,5.37966850999988,0.0049330977790305
-9829,0,0,0,0,0.0345918000003034,0.000243228086674208,0,0,0,0,5.41426031000019,0.00517632586570471
-9828,0,0,0,0,0.0289513699996378,0.000432758210536122,0,0,0,0,5.44321167999982,0.00560908407624083
-9827,0,0,0,0,0.0302466299999934,0.000160308854901814,0,0,0,0,5.47345830999982,0.00576939293114265
-9826,0,0,0,0,0.0478537100001231,-0.000428481049311813,0,0,0,0,5.52131201999994,0.00534091188183083
-9825,0,0,0,0,0.0422624199998618,-0.000163948945100856,0,0,0,0,5.5635744399998,0.00517696293672998
-9824,0,0,0,0,0.0237875100001353,-5.5855355640233e-05,0,0,0,0,5.58736194999994,0.00512110758108974
-9823,0,0,0,0,0.0382801000001586,-4.95936842526135e-05,0,0,0,0,5.6256420500001,0.00507151389683713
-9822,0,0,0,0,0.0357605799999017,4.16457000937953e-05,0,0,0,0,5.66140263,0.00511315959693093
-9821,0,0,0,0,0.0338148699999491,-0.00015503302711295,0,0,0,0,5.69521749999995,0.00495812656981798
-9820,0,0,0,0,0.0319010499999963,-0.000210957253784727,0,0,0,0,5.72711854999994,0.00474716931603325
-9819,0,0,0,0,0.0337647199999993,0.000134160739889921,0,0,0,0,5.76088326999994,0.00488133005592317
-9818,0,0,0,0,0.0346746100000007,7.10583390173269e-06,0,0,0,0,5.79555787999994,0.0048884358898249
