## //////////////////////////////////////////////////////////////////////////////////
## 
## CUMULATIVE PEATLAND C BALANCE (YML)
## 
## Cumulative peatland net carbon balance (NCB), derived following the methodology of 
## Yu et al. (2010), using data from 64 peat cores from Loisel et al., 2014, as described
## in Stocker et al., 2017. 
## 
## Provided are summary statistics based on a set of 1000 individual Monte Carlo simulations. 
## Values are given at a decadal time step and are representative of annual values at the
## end of the decade. 
## 
## This data is used to create Fig. 1 in Stocker et al., 2017. Only values until 1200 CE
## are provided here due to autogenic effects affecting younger peat. Note that the 
## curve plotted in Fig 1, top panel (Stocker et al., 2017) is offset by 24 GtC, corresponding 
## to the cumulative peat C balance (NCB), in year -9050 CE (=11 ka BP, i.e. first year of 
## the C balance evaluation), starting from 12 ka BP.
## 
## Citation: Stocker et al.: Holocene peatland and ice core data constraints on 
## the timing and magnitude of CO2 emissions from past land use, PNAS, 2017
## 
## Columns description:
## 1.  age          year before present (1950 CE)
## 2.  year         year CE
## 3.  mean         mean over 1000 MC simulations (PgC)
## 4.  median       median of 1000 MC simulations (PgC)
## 5.  sd           standard deviation of 1000 MC simulations (PgC)
## 6.  q10          10%-quantile of 1000 MC simulations (PgC)
## 7.  q90          90%-quantile of 1000 MC simulations (PgC)
## 
## ----------------------------------------------------------------------------------
"age","year","mean","median","sd","q10","q90"
11230,-9275,16.8181482965932,16.4205,3.08570244657818,13.4538,20.5595
11220,-9265,17.0706613226453,16.6705,3.09875368377436,13.7228,20.9439
11210,-9255,17.3383827655311,16.9655,3.11987973461461,13.9208,21.2436
11200,-9245,17.6065571142285,17.2165,3.1284017095016,14.1656,21.583
11190,-9235,17.8761322645291,17.556,3.14523935979957,14.4056,21.9384
11180,-9225,18.1525851703407,17.8355,3.16146441130251,14.6762,22.1835
11170,-9215,18.4252424849699,18.129,3.18190653049789,14.9095,22.4344
11160,-9205,18.6960891783567,18.3845,3.20134461705305,15.1281,22.73
11150,-9195,18.9698066132265,18.66,3.22399164453764,15.3718,23.0221
11140,-9185,19.2412615230461,18.9505,3.24575590779427,15.6071,23.3246
11130,-9175,19.5043987975952,19.157,3.26048250505594,15.797,23.5604
11120,-9165,19.7720781563126,19.4245,3.27520567943934,16.0787,23.87
11110,-9155,20.0463166332665,19.688,3.29503005222701,16.3019,24.1369
11100,-9145,20.3207434869739,19.9445,3.30887874967834,16.6093,24.3805
11090,-9135,20.5953066132265,20.2275,3.328174560309,16.8801,24.7557
11080,-9125,20.8764188376754,20.548,3.35026352216205,17.1239,25.0726
11070,-9115,21.17325250501,20.823,3.37101126566323,17.2988,25.4385
11060,-9105,21.4645821643287,21.1375,3.39489054081496,17.6029,25.7882
11050,-9095,21.7624248496994,21.4385,3.41065878561891,17.8804,26.1411
11040,-9085,22.0678567134269,21.7415,3.43277664332518,18.1117,26.5266
11030,-9075,22.3752074148297,22.0205,3.45292816589364,18.4748,26.9014
11020,-9065,22.6844148296593,22.3135,3.4717973640568,18.7318,27.1196
11010,-9055,22.9956933867735,22.69,3.49298616591049,18.9971,27.4382
11000,-9045,23.3119118236473,23.057,3.51383281066479,19.3029,27.744
10990,-9035,23.623995991984,23.368,3.53594883737386,19.5507,28.0831
10980,-9025,23.9478106212425,23.6995,3.55861424789247,19.802,28.4385
10970,-9015,24.2720901803607,24.0235,3.58215067973987,20.1149,28.7111
10960,-9005,24.6060531062124,24.2935,3.60356767191677,20.3522,29.0414
10950,-8995,24.9390801603206,24.648,3.62480184296874,20.7191,29.4001
10940,-8985,25.2715791583166,24.9985,3.63918932098736,21.0466,29.7386
10930,-8975,25.6105851703407,25.334,3.65386638328514,21.3478,30.1605
10920,-8965,25.9461683366733,25.632,3.66892249120349,21.6394,30.5751
10910,-8955,26.277621242485,26.0095,3.67531797774591,21.9349,30.9914
10900,-8945,26.6105871743487,26.346,3.67923008003868,22.2715,31.2761
10890,-8935,26.9533186372745,26.7425,3.69176747126074,22.6407,31.6541
10880,-8925,27.2973056112224,27.0875,3.70636539741646,22.9447,32.0693
10870,-8915,27.6428847695391,27.4315,3.72721253426407,23.2724,32.4961
10860,-8905,27.9843346693387,27.7685,3.75062442333476,23.5747,32.8453
10850,-8895,28.3278286573146,28.086,3.76647534856588,23.9256,33.2822
10840,-8885,28.67374749499,28.4885,3.78910062217191,24.2586,33.6425
10830,-8875,29.0178527054108,28.842,3.80064908611345,24.5697,33.996
10820,-8865,29.3757625250501,29.197,3.81824266618717,24.9378,34.4362
10810,-8855,29.7229218436874,29.5655,3.83114378089802,25.2587,34.6824
10800,-8845,30.0785951903808,29.8775,3.84662305499754,25.5385,35.0571
10790,-8835,30.4331122244489,30.2405,3.86568376595473,25.7903,35.3909
10780,-8825,30.7876653306613,30.635,3.89002732741617,26.0679,35.8099
10770,-8815,31.1429148296593,30.994,3.9175216550152,26.4011,36.2317
10760,-8805,31.4936793587174,31.381,3.94188933762034,26.7676,36.5811
10750,-8795,31.8403627254509,31.7225,3.9665153749042,27.0915,36.9553
10740,-8785,32.1864799599198,32.0705,3.98826134936915,27.3492,37.2878
10730,-8775,32.5388446893788,32.346,4.01432817355305,27.6897,37.6137
10720,-8765,32.8933917835671,32.7475,4.04351857436023,28.0499,37.9935
10710,-8755,33.2485911823647,33.0975,4.06934374521896,28.302,38.4324
10700,-8745,33.6088206412826,33.4795,4.09296069522451,28.5818,38.8475
10690,-8735,33.971997995992,33.8455,4.11750051675923,28.8972,39.2215
10680,-8725,34.3330420841683,34.2005,4.13776296751742,29.2315,39.6697
10670,-8715,34.6888246492986,34.5465,4.15399822050534,29.6002,39.991
10660,-8705,35.0466462925852,34.919,4.17743554796642,29.897,40.3523
10650,-8695,35.4050490981964,35.331,4.20573928356933,30.2228,40.7756
10640,-8685,35.7583306613226,35.674,4.23056180031928,30.5459,41.1624
10630,-8675,36.1191412825651,36.029,4.26968085609661,30.8534,41.641
10620,-8665,36.4826743486974,36.412,4.30868730031771,31.1953,42.0543
10610,-8655,36.8303957915832,36.767,4.33362366581283,31.5115,42.3765
10600,-8645,37.1824829659319,37.148,4.35799335951481,31.8425,42.7672
10590,-8635,37.5324228456914,37.446,4.38565935698907,32.1709,43.1143
10580,-8625,37.8926783567134,37.812,4.41272239468451,32.4785,43.4877
10570,-8615,38.2454308617234,38.1675,4.437987551498,32.84,43.8916
10560,-8605,38.6122975951904,38.5395,4.46104666043002,33.1221,44.276
10550,-8595,38.9784609218437,38.8345,4.48481010579389,33.3835,44.6777
10540,-8585,39.3460200400802,39.195,4.511626701099,33.7651,45.1593
10530,-8575,39.7201573146293,39.5405,4.53967618027618,34.2039,45.5198
10520,-8565,40.0968647294589,39.955,4.57447574677273,34.5627,45.8934
10510,-8555,40.467121242485,40.3015,4.59933995660671,34.8678,46.3382
10500,-8545,40.8389929859719,40.6935,4.63219200457544,35.156,46.6922
10490,-8535,41.2002765531062,41.0525,4.66390921214046,35.4854,47.0942
10480,-8525,41.5688316633267,41.427,4.69696819110842,35.7673,47.4558
10470,-8515,41.9316513026052,41.8205,4.7307598718969,36.0515,48.0338
10460,-8505,42.2862625250501,42.1585,4.7609108938138,36.3661,48.5243
10450,-8495,42.6407965931864,42.51,4.78180163120859,36.689,48.9307
10440,-8485,42.9993466933868,42.864,4.7997696317216,37.051,49.3034
10430,-8475,43.3609649298597,43.247,4.8279252374148,37.2976,49.7163
10420,-8465,43.7237925851703,43.6015,4.85419933207648,37.6631,50.1659
10410,-8455,44.0944308617234,43.9575,4.87805744122896,38.0384,50.5415
10400,-8445,44.4781763527054,44.325,4.90597312465748,38.3598,50.9792
10390,-8435,44.8609218436874,44.727,4.93322162981255,38.7353,51.3896
10380,-8425,45.2405320641283,45.137,4.95885277893217,39.0757,51.7666
10370,-8415,45.6083496993988,45.5245,4.9775416022532,39.3642,52.1021
10360,-8405,45.9805551102204,45.8885,4.99833884907972,39.6883,52.5191
10350,-8395,46.3547194388778,46.269,5.02823470216966,39.9912,52.848
10340,-8385,46.7417765531062,46.6625,5.04718612123612,40.3441,53.3883
10330,-8375,47.1286102204409,47.011,5.07329974951422,40.7389,53.7126
10320,-8365,47.5098607214429,47.427,5.10106492329743,41.1515,54.146
10310,-8355,47.890125250501,47.8025,5.12944847017379,41.4716,54.6004
10300,-8345,48.2726492985972,48.1765,5.16589753239455,41.8134,55.1186
10290,-8335,48.6508046092184,48.515,5.18832984868494,42.1717,55.6036
10280,-8325,49.0314338677355,48.9285,5.21290784839352,42.5215,55.997
10270,-8315,49.4195180360721,49.303,5.23782150091062,42.9198,56.5273
10260,-8305,49.8154899799599,49.7245,5.25870592078352,43.2067,56.962
10250,-8295,50.2017344689379,50.051,5.27951404451897,43.5684,57.3893
10240,-8285,50.5995651302605,50.4515,5.30157923721715,44.0439,57.7696
10230,-8275,50.9980871743487,50.8,5.31676207746604,44.48,58.1775
10220,-8265,51.4114218436874,51.2215,5.34304657658554,44.8791,58.5729
10210,-8255,51.8401913827655,51.6555,5.3726155858339,45.2516,59.1109
10200,-8245,52.2774398797595,52.0875,5.40581722791268,45.6436,59.4645
10190,-8235,52.7208677354709,52.5035,5.42641651452489,46.1145,59.9121
10180,-8225,53.1725771543086,52.9675,5.45545051306127,46.509,60.3346
10170,-8215,53.6195160320641,53.386,5.48941280503441,46.9356,60.8998
10160,-8205,54.0918166332665,53.9165,5.52294104865557,47.3062,61.341
10150,-8195,54.5534599198397,54.363,5.55872305551559,47.6701,61.6721
10140,-8185,55.0169539078156,54.8935,5.59801742415323,48.0896,62.1621
10130,-8175,55.4832194388778,55.394,5.63075445478963,48.4522,62.6743
10120,-8165,55.952255511022,55.8495,5.65851382200895,48.9653,63.1285
10110,-8155,56.4252985971944,56.3495,5.68943279771342,49.3267,63.7869
10100,-8145,56.8880801603206,56.7055,5.71759083692798,49.7554,64.4127
10090,-8135,57.3680430861723,57.1875,5.74067096134298,50.298,65.0012
10080,-8125,57.8415761523046,57.6905,5.77566014183091,50.7125,65.4938
10070,-8115,58.3155911823647,58.1035,5.81000384468273,51.1466,65.8931
10060,-8105,58.7951933867735,58.681,5.85260089356299,51.5257,66.4051
10050,-8095,59.2732685370741,59.1585,5.89463323821519,51.9942,66.8889
10040,-8085,59.7509659318637,59.66,5.92711575070104,52.4058,67.4014
10030,-8075,60.2326543086172,60.101,5.95141002937537,52.859,67.8344
10020,-8065,60.7328386773547,60.6385,5.99663709510407,53.2188,68.4814
10010,-8055,61.2473937875751,61.1595,6.03676833695843,53.6883,69.0674
10000,-8045,61.7370370741483,61.638,6.06331500188341,54.0965,69.5675
9990,-8035,62.2375651302605,62.1805,6.08769476121987,54.6493,70.0634
9980,-8025,62.7396543086172,62.651,6.12505629882107,55.0536,70.6778
9970,-8015,63.2329048096192,63.144,6.14669144933083,55.5266,71.1796
9960,-8005,63.7333186372746,63.634,6.1792570038827,56.0022,71.8067
9950,-7995,64.2279929859719,64.183,6.20450969494083,56.4462,72.2064
9940,-7985,64.7291853707415,64.6935,6.23931173845443,56.9514,72.749
9930,-7975,65.2156402805611,65.1085,6.26225659125405,57.3212,73.2411
9920,-7965,65.7135561122245,65.6175,6.28886798350064,57.9561,73.8771
9910,-7955,66.2160130260521,66.114,6.31709772060443,58.3799,74.3508
9900,-7945,66.7210941883768,66.7045,6.34820041923968,58.8256,74.8457
9890,-7935,67.2222795591182,67.299,6.37811861147699,59.2654,75.3743
9880,-7925,67.7445901803607,67.795,6.42347287772091,59.5598,75.8759
9870,-7915,68.2707104208417,68.3075,6.45335730599726,59.9887,76.5314
9860,-7905,68.8000420841683,68.849,6.48574063859524,60.5432,77.145
9850,-7895,69.340622244489,69.372,6.52228106812187,61.0966,77.8843
9840,-7885,69.8796643286573,69.899,6.55922421490945,61.5517,78.4452
9830,-7875,70.4067995991984,70.3975,6.5951384479298,61.9951,78.9832
9820,-7865,70.9250781563126,70.848,6.6272043982597,62.5201,79.4931
9810,-7855,71.4519258517034,71.3605,6.65713105158875,63.096,80.046
9800,-7845,71.9770070140281,71.8875,6.68548438344408,63.5457,80.5754
9790,-7835,72.5126102204409,72.464,6.71466870387394,64.049,81.1032
9780,-7825,73.0638196392786,72.954,6.74969130595705,64.5768,81.644
9770,-7815,73.6149679358717,73.514,6.7910733532219,65.0743,82.1984
9760,-7805,74.1800230460922,74.0235,6.83616540604793,65.559,82.9536
9750,-7795,74.756122244489,74.631,6.89232651820754,66.1467,83.5842
9740,-7785,75.3230120240481,75.2065,6.94349613173724,66.7269,84.2571
9730,-7775,75.9025741482966,75.807,7.0037965779661,67.1675,85.1026
9720,-7765,76.4808056112225,76.447,7.05739788882362,67.6771,85.7755
9710,-7755,77.0532244488978,76.927,7.11135316640197,68.1964,86.3487
9700,-7745,77.6324559118236,77.5545,7.16541510104411,68.6633,87.1088
9690,-7735,78.2178517034068,78.127,7.21119776762387,69.3193,87.6621
9680,-7725,78.8115060120241,78.7,7.26567642958329,69.7694,88.45
9670,-7715,79.4125601202405,79.325,7.30806970343493,70.2946,89.1388
9660,-7705,80.0309498997996,79.949,7.34746494437513,70.8993,89.7174
9650,-7695,80.6411172344689,80.4765,7.38154581705155,71.4753,90.3018
9640,-7685,81.2494358717435,81.038,7.4344628178211,71.9973,90.973
9630,-7675,81.8777655310621,81.616,7.49531984239189,72.5983,91.644
9620,-7665,82.5136783567134,82.245,7.55681750860291,73.0736,92.3568
9610,-7655,83.1991553106212,83.0105,7.61596641288112,73.6307,93.2725
9600,-7645,83.9185711422846,83.783,7.67547739571979,74.2865,93.8649
9590,-7635,84.691875751503,84.58,7.74280975455803,75.0277,94.9691
9580,-7625,85.5301462925852,85.4335,7.80074136554968,75.7565,95.9819
9570,-7615,86.3746783567134,86.2315,7.87306390928663,76.3654,96.7062
9560,-7605,87.2352394789579,87.0655,7.94844354639291,77.248,97.4368
9550,-7595,88.0464729458918,87.853,8.0043698174994,78.0758,98.4115
9540,-7585,88.826619238477,88.576,8.06364587962086,78.752,99.1362
9530,-7575,89.5593827655311,89.2875,8.13183801389552,79.3905,100.0877
9520,-7565,90.2565711422846,90.144,8.18528843871269,80.0367,100.8219
9510,-7555,90.9261623246493,90.7635,8.23875455658404,80.5929,101.5867
9500,-7545,91.5854168336673,91.35,8.29198800190088,81.196,102.322
9490,-7535,92.242629258517,91.934,8.33061569708405,81.721,103.0957
9480,-7525,92.9074058116232,92.5345,8.3667886074318,82.3497,103.7843
9470,-7515,93.5763827655311,93.2185,8.40811862703676,82.9975,104.4597
9460,-7505,94.2378046092184,93.993,8.45421459439747,83.5383,105.2979
9450,-7495,94.9046072144289,94.5625,8.51384647061501,84.112,105.9676
9440,-7485,95.5870861723447,95.211,8.56119326325844,84.6676,106.6003
9430,-7475,96.2531633266533,95.829,8.61172082635934,85.2778,107.3934
9420,-7465,96.9340611222445,96.6575,8.66904404274871,85.9539,108.1122
9410,-7455,97.6139028056112,97.3835,8.71636080843379,86.5949,108.7169
9400,-7445,98.2859669338677,98.063,8.7621800223541,87.1844,109.5331
9390,-7435,98.9469769539078,98.638,8.8026826781081,87.8773,110.2737
9380,-7425,99.626628256513,99.3705,8.84919196188092,88.4603,111.1411
9370,-7415,100.316157314629,99.9865,8.90257029941971,88.934,111.9141
9360,-7405,100.998092184369,100.7385,8.95329555893336,89.448,112.6921
9350,-7395,101.675825651303,101.428,9.0024971784504,90.1159,113.5476
9340,-7385,102.364235470942,102.142,9.05450837203446,90.7614,114.2491
9330,-7375,103.055604208417,102.7435,9.10708605504,91.4168,114.9053
9320,-7365,103.737343687375,103.3865,9.16311016833183,92.0285,115.6866
9310,-7355,104.424039078156,104.0825,9.22032232162302,92.7833,116.4582
9300,-7345,105.105563126253,104.8775,9.26730508530692,93.3943,117.2439
9290,-7335,105.801503006012,105.576,9.32070401415308,93.8829,117.9791
9280,-7325,106.514123246493,106.4185,9.37717630474074,94.3692,118.7956
9270,-7315,107.211642284569,107.068,9.42645954874724,95.0675,119.573
9260,-7305,107.926497995992,107.8005,9.47113340352347,95.8107,120.4101
9250,-7295,108.639741482966,108.437,9.53074744213274,96.5958,120.9902
9240,-7285,109.354087174349,109.2095,9.5810834588868,97.4166,121.7292
9230,-7275,110.058814629259,110.0535,9.62912405230874,98.0239,122.3679
9220,-7265,110.766034068136,110.8195,9.68444157692183,98.5956,123.1147
9210,-7255,111.453951903808,111.5065,9.72536130595081,99.4548,123.8477
9200,-7245,112.124888777555,112.15,9.7870746628409,99.9158,124.6457
9190,-7235,112.806442885772,112.7245,9.83442994755796,100.4681,125.3846
9180,-7225,113.503324649299,113.423,9.88781958417533,101.0534,126.0903
9170,-7215,114.19349498998,114.158,9.93920791115562,101.5773,126.8411
9160,-7205,114.879647294589,114.843,9.99146366848038,102.0982,127.6125
9150,-7195,115.565031062124,115.4805,10.0417205511266,102.7121,128.3005
9140,-7185,116.244198396794,116.179,10.0993036375091,103.4123,129.0311
9130,-7175,116.920278557114,116.8825,10.1531873709654,104.1158,129.7145
9120,-7165,117.603581162325,117.4995,10.2107289939892,104.7981,130.6124
9110,-7155,118.288701402806,118.1095,10.2667634516597,105.3581,131.353
9100,-7145,118.973627254509,118.8745,10.3095893280809,106.0234,132.1384
9090,-7135,119.690663326653,119.6585,10.3688928546867,106.6276,132.838
9080,-7125,120.440275551102,120.2835,10.4312396793943,107.3107,133.4726
9070,-7115,121.203946893788,121.0325,10.4975101499465,107.8622,134.3988
9060,-7105,122.009796593186,122.039,10.5632319466717,108.7977,135.2314
9050,-7095,122.797145290581,122.7515,10.6373102345004,109.4293,136.001
9040,-7085,123.588630260521,123.609,10.7126949692914,110.1894,136.8735
9030,-7075,124.363614228457,124.415,10.7894530904235,110.8282,137.8106
9020,-7065,125.133310621242,125.1465,10.8465230907967,111.5063,138.693
9010,-7055,125.919734468938,125.9745,10.9168489855799,111.9638,139.4555
9000,-7045,126.683856713427,126.78,10.978459317841,112.7712,140.1642
8990,-7035,127.44643987976,127.529,11.0308670397589,113.4037,141.1769
8980,-7025,128.228381763527,128.303,11.0743845955456,114.1349,142.1593
8970,-7015,129.008658316633,129.1555,11.1357460682243,114.8121,142.83
8960,-7005,129.774235470942,129.996,11.1862608622318,115.5464,143.6666
8950,-6995,130.54926753507,130.7745,11.2457641624908,116.2648,144.5124
8940,-6985,131.321435871743,131.4875,11.3040499815487,116.9178,145.4374
8930,-6975,132.10194488978,132.227,11.358271676907,117.5424,146.2778
8920,-6965,132.885548096192,132.917,11.4207226186695,118.3182,147.1066
8910,-6955,133.673155310621,133.851,11.4969264890671,118.9002,147.9958
8900,-6945,134.470325651303,134.7245,11.5600539517454,119.5344,148.9485
8890,-6935,135.276383767535,135.6185,11.6224900778985,120.3253,149.8387
8880,-6925,136.080300601202,136.5555,11.6941499294106,120.9132,150.8403
8870,-6915,136.882567134269,137.3065,11.7601926150054,121.6402,151.8074
8860,-6905,137.682141282565,138.066,11.8354006573177,122.2848,152.6137
8850,-6895,138.479375751503,138.8925,11.8928430568143,122.8734,153.6235
8840,-6885,139.273657314629,139.7245,11.9528220560717,123.6871,154.4544
8830,-6875,140.069862725451,140.576,12.0123097097052,124.263,155.2468
8820,-6865,140.867350701403,141.2915,12.0797412662039,124.8632,156.0068
8810,-6855,141.653263527054,142.0365,12.1386529784026,125.7191,157.0304
