## //////////////////////////////////////////////////////////////////////////////////
## 
## PEATLAND C BALANCE (LPX)
## 
## Annual peatland net ecosystem productivity (NEP) and total global peatland C 
## storage (TOTC), simulated by LPX. 
## 
## NEP represents the net CO2 exchange between the biosphere and the atmosphere over 
## active peatlands only. This is compared to annual values of NCB in Fig. S1 (Stocker 
## et al., 2017). TOTC represents the total global amount of C stored in active 
## peatlands as simulated by LPX and is compared in Fig. 1 (Stocker 
## et al., 2017) to cumulative values of YML NCB. Cumulative NEP is not identical to 
## TOTC due to simulated spatial shifts in peatland extent and decaying peat C not
## accounted for in NEP.
## 
## Citation: Stocker et al.: Holocene peatland and ice core data constraints on 
## the timing and magnitude of CO2 emissions from past land use, PNAS, 2017
##
## This data is made available under the GNU General Public License v3.0
##
## Columns description:
## 1.  year      year CE
## 2.  nep       net ecosystem productivity, summed over all peatland areas globally (PgC yr-1)
## 3.  totc      total global carbon storage in peatlands (PgC)
## 
## ----------------------------------------------------------------------------------
"year","nep","totc"
-8745,0.041279066,290.29546
-8735,0.044944803,291.44266
-8725,0.041458404,292.84187
-8715,0.037802091,292.61082
-8705,0.050192734,292.06317
-8695,0.049985993,290.95538
-8685,0.048781254,289.32395
-8675,0.045805468,289.79362
-8665,0.037478791,291.72836
-8655,0.057953385,293.73192
-8645,0.041270971,296.51854
-8635,0.053512684,297.96976
-8625,0.047501831,300.69948
-8615,0.056111017,300.55712
-8605,0.04964764,300.1709
-8595,0.049327406,298.49758
-8585,0.070274322,296.70271
-8575,0.053126644,296.30117
-8565,0.047412267,296.3505
-8555,0.049907998,298.0861
-8545,0.045120284,298.46777
-8535,0.052047379,298.34317
-8525,0.049024878,298.7792
-8515,0.049985637,299.60289
-8505,0.062203904,300.87214
-8495,0.050230714,302.3171
-8485,0.046849055,304.60124
-8475,0.055177835,306.60855
-8465,0.061127228,306.47089
-8455,0.044165241,306.34524
-8445,0.052496981,305.28529
-8435,0.034418718,305.35009
-8425,0.059638138,305.83721
-8415,0.042765102,307.16722
-8405,0.051188347,309.59463
-8395,0.05141126,311.99529
-8385,0.051164371,314.33723
-8375,0.042825124,313.8946
-8365,0.049026928,312.58267
-8355,0.052738905,311.36026
-8345,0.049251658,311.18782
-8335,0.049447225,310.82988
-8325,0.049786893,311.38467
-8315,0.057365556,313.04654
-8305,0.058127891,316.78248
-8295,0.056440126,320.77272
-8285,0.051018972,323.89839
-8275,0.038494405,325.65365
-8265,0.05698078,324.1878
-8255,0.051967247,322.4364
-8245,0.050625953,319.84599
-8235,0.054520525,318.06565
-8225,0.044603847,317.55147
-8215,0.032924716,318.42384
-8205,0.053896149,319.8078
-8195,0.04480196,319.77833
-8185,0.04588546,320.14751
-8175,0.057315139,320.46194
-8165,0.050508236,318.38591
-8155,0.05034803,317.16256
-8145,0.047366552,316.21068
-8135,0.042440149,317.99366
-8125,0.04454828,317.47407
-8115,0.040873696,316.37853
-8105,0.045331807,316.80926
-8095,0.046431384,316.95008
-8085,0.050735516,317.70612
-8075,0.042488615,319.26768
-8065,0.039710678,319.54943
-8055,0.043328081,321.44754
-8045,0.052378346,321.36918
-8035,0.03643667,322.79384
-8025,0.049696465,322.85459
-8015,0.046048464,322.72208
-8005,0.055527446,322.99975
-7995,0.041909211,322.4588
-7985,0.064230657,323.58727
-7975,0.048403873,323.88129
-7965,0.059139205,321.61162
-7955,0.0589348,318.91349
-7945,0.049646423,315.45177
-7935,0.058410249,312.19719
-7925,0.054168616,309.6816
-7915,0.049550518,309.7829
-7905,0.052634163,310.836
-7895,0.061489576,312.23626
-7885,0.043289443,312.55192
-7875,0.025659774,312.6075
-7865,0.029538972,312.2229
-7855,0.04131756,311.98766
-7845,0.041444289,313.49508
-7835,0.053970007,315.26288
-7825,0.026407935,315.50881
-7815,0.053283565,315.17258
-7805,0.051258252,315.77817
-7795,0.047870888,316.70807
-7785,0.04732842,317.44053
-7775,0.055207519,316.2623
-7765,0.051663388,316.59265
-7755,0.065070806,316.14746
-7745,0.054638247,315.72626
-7735,0.050420809,314.83075
-7725,0.046957693,315.37726
-7715,0.040438009,317.31317
-7705,0.034374987,320.23214
-7695,0.050723936,320.14981
-7685,0.056025551,321.34308
-7675,0.052097319,323.23397
-7665,0.046914459,326.25484
-7655,0.058194503,328.10635
-7645,0.055775357,328.33331
-7635,0.050241526,329.42735
-7625,0.05911453,329.58343
-7615,0.052949522,330.56933
-7605,0.046822184,330.0244
-7595,0.053778931,328.96097
-7585,0.053411837,327.55131
-7575,0.058055305,326.34081
-7565,0.039870098,326.79386
-7555,0.050521919,327.09835
-7545,0.046303291,326.31851
-7535,0.033576327,325.94182
-7525,0.031196974,323.47595
-7515,0.033482402,322.13052
-7505,0.046010406,322.1243
-7495,0.055765381,322.6134
-7485,0.045391802,325.0324
-7475,0.041038561,327.85625
-7465,0.039252579,330.67814
-7455,0.047939961,330.84017
-7445,0.058989464,329.46874
-7435,0.046972684,329.13639
-7425,0.040926623,327.32878
-7415,0.053445451,326.82911
-7405,0.039743748,326.95168
-7395,0.045304407,326.55365
-7385,0.050143204,327.19356
-7375,0.042310994,327.61839
-7365,0.054439832,329.68219
-7355,0.042413059,333.03951
-7345,0.042555373,335.17376
-7335,0.055298634,339.8462
-7325,0.050231861,341.82255
-7315,0.042613152,340.61782
-7305,0.048155922,336.82297
-7295,0.051587754,333.51031
-7285,0.047719866,331.50416
-7275,0.047342648,330.98463
-7265,0.050658319,331.22705
-7255,0.047407878,332.61562
-7245,0.044167366,331.93711
-7235,0.033122279,330.71203
-7225,0.056688658,329.04763
-7215,0.055043525,328.18557
-7205,0.043397344,328.17931
-7195,0.052348286,329.35624
-7185,0.047912432,330.79167
-7175,0.063145801,331.16886
-7165,0.045004575,333.29331
-7155,0.046736869,335.24078
-7145,0.05257891,337.49618
-7135,0.051965197,339.24426
-7125,0.054638898,341.52102
-7115,0.048470851,341.58917
-7105,0.054758838,340.52328
-7095,0.043918808,340.50545
-7085,0.055381639,341.79014
-7075,0.049063771,343.12447
-7065,0.061110744,341.66881
-7055,0.048542448,341.57603
-7045,0.047181519,346.3018
-7035,0.05429816,350.58677
-7025,0.050041899,353.73918
-7015,0.048574107,352.39309
-7005,0.04433365,349.40577
-6995,0.050069085,345.9057
-6985,0.048002365,342.87
-6975,0.042366628,341.49041
-6965,0.047110944,338.19476
-6955,0.049071108,335.62689
-6945,0.045577812,334.96206
-6935,0.059911843,336.75641
-6925,0.054078958,340.44075
-6915,0.048966041,342.13721
-6905,0.052724925,342.302
-6895,0.052114277,343.08604
-6885,0.048572062,343.30608
-6875,0.053532151,346.37857
-6865,0.049175211,347.99545
-6855,0.060411152,346.64312
-6845,0.053660727,346.34599
-6835,0.060195736,346.47109
-6825,0.043498331,348.8212
-6815,0.042645939,349.27235
-6805,0.03948147,348.29934
-6795,0.054993744,348.62672
-6785,0.057513106,349.9111
-6775,0.053017379,351.13556
-6765,0.05185114,350.81865
-6755,0.052500189,350.12454
-6745,0.047296376,349.97764
-6735,0.047487438,350.90249
-6725,0.049412893,352.8276
-6715,0.045679744,354.51099
-6705,0.049050472,355.21963
-6695,0.059503975,354.88601
-6685,0.043791462,357.75075
-6675,0.056834452,357.42785
-6665,0.045024155,355.26861
-6655,0.043372839,354.55654
-6645,0.046933064,357.73519
-6635,0.046079714,359.40763
-6625,0.053375279,358.8457
-6615,0.04548279,357.2724
-6605,0.054039594,355.10433
-6595,0.053394807,356.75497
-6585,0.059971159,357.74116
-6575,0.056800875,361.4877
-6565,0.034194836,363.17944
-6555,0.031608194,362.18962
-6545,0.028326017,361.08979
-6535,0.022828135,359.9133
-6525,0.04106181,359.90599
-6515,0.033260344,357.84765
-6505,0.039535012,355.1553
-6495,0.040953567,355.0146
-6485,0.047066775,354.77631
-6475,0.047683079,355.44251
-6465,0.044454572,357.05512
-6455,0.038643319,358.08661
-6445,0.046350577,360.15645
-6435,0.037751973,360.70423
-6425,0.045643915,360.95144
-6415,0.049192192,362.67638
-6405,0.04971495,361.32017
-6395,0.03776024,361.59951
-6385,0.033606604,362.33045
-6375,0.047243,363.05
-6365,0.05238556,363.24903
-6355,0.046247002,364.07136
-6345,0.040891665,362.45721
-6335,0.045199182,358.75184
-6325,0.035388966,358.24101
-6315,0.045262179,358.49788
-6305,0.046342677,361.58643
-6295,0.038095873,363.2888
-6285,0.053072469,362.96796
-6275,0.046164623,362.55711
-6265,0.048958445,363.73976
